,sentence,sentiment
118,"['thy', 'mission', 'to', 'a', 'world', 'of', 'woe', '.']",0
119,"['and', 'call', 'that', 'brilliant', 'flower', 'the', 'painted', 'cup', '.']",1
120,"['our', 'frowning', 'foemen', 'of', 'the', 'night']",0
121,"['and', 'bright', 'in', 'heaven', ""'s"", 'jewelled', 'crown']",1
122,"['when', ',', 'dreadful', 'to', 'behold', ',', 'from', 'sea', 'we', 'spied']",0
123,"['halcyons', 'of', 'memory', ',']",1
124,"['hale', 'as', 'the', 'morn', 'and', 'happy', 'as', 'her', 'song', '.']",1
125,"['some', 'moment', ',', 'nailed', 'on', 'sorrow', ""'s"", 'cross', ',']",0
126,"['and', 'in', 'the', 'air', ',', 'her', 'new', 'voice', 'luting', 'soft', ',']",1
127,"['with', 'sincerest', 'conviction', 'their', 'chairs', 'to', 'the', 'shore', ';']",1
128,"['the', 'sundown', ""'s"", 'golden', 'trail', '?']",1
129,"['“', 'the', 'nymph', ',', 'who', 'scatters', 'flaming', 'fires', 'around', ',']",0
130,"['thus', 'farr', 'to', 'try', 'thee', ',', 'adam', ',', 'i', 'was', ""pleas'd"", ',']",1
131,"['swifter', 'far', 'than', 'youth', ""'s"", 'delight--']",1
132,"['for', ""'"", 'twas', ""e'en"", 'as', 'a', 'great', 'god', ""'s"", 'slaying', ',', 'and', 'they', 'feared', 'the', 'wrath', 'of', 'the', 'sky', ';']",0
133,"['and', 'i', ""'ve"", 'been', 'like', 'that', 'silly', 'girl', '.']",0
134,"['to', 'make', 'a', 'body', 'curse', '.']",0
135,"['and', 'full', 'of', 'wonder', ',', 'full', 'of', 'hope', 'as', 'he', '.']",1
136,"['were', 'murmuring', 'on', 'the', 'stifling', 'air']",0
137,"['how', 'poor', 'these', 'pallid', 'phrases', 'seem', ',']",0
138,"['‘', 'these', 'monsters', ',', 'set', 'out', 'in', 'the', 'open', 'sun', ',']",0
139,"['before', 'the', 'saintly', 'soul', ',', 'whose', 'human', 'will']",1
140,"['blindness', 'like', 'that', 'would', 'scare', 'the', 'mole', 'and', 'bat', ',']",0
141,"['did', 'from', 'the', 'altar', 'steal', 'a', 'smouldering', 'brand', ',']",0
142,"['is', 'beaten', 'by', 'the', 'winds', ',', 'with', 'foggy', 'vapours', 'bound', '.']",0
143,"['pride', 'of', 'thy', 'sex', ',', 'miss', 'harriet', 'martineau', '!']",1
144,"['until', 'the', 'bitter', 'summons', 'fell--']",0
145,"['in', 'slumber', ';', 'for', 'thine', 'enemy', 'never', 'sleeps', ',']",0
146,"['the', 'beauty', 'and', 'the', 'joy', 'of', 'their', 'renewed', 'might', '.']",1
147,"['oh', ',', 'those', 'days', ',', 'so', 'sweet', ',', 'so', 'happy', ',']",1
148,"['if', 'men', 'are', 'always', 'at', 'a', 'loss']",0
149,"['and', 'circling', 'wonders', 'fill', 'the', 'vast', 'profound', '.']",1
150,"['""', 'play', 'uppe', ',', 'play', 'uppe', ',', 'o', 'boston', 'bells', '!']",1
151,"['with', 'warning', 'cough', 'and', 'threatening', 'wheeze']",0
152,"['daily', 'struggling', ',', 'though', 'unloved', 'and', 'lonely', ',']",0
153,"['honour', 'to', 'the', 'old', 'bow', '-', 'string', '!']",1
154,"['how', 'heavy', 'it', 'seemed', '!']",0
155,"['as', 'heavy', 'as', 'a', 'stone', ';']",0
156,"['thou', 'too', 'art', 'victor', ',', 'rochambeau', '!']",1
157,"['heart', 'as', 'though', 'with', 'ashes', 'blending', ';']",0
158,"['passing', 'to', 'lap', 'thy', 'waters', ',', 'crushed', 'the', 'flower']",0
159,"['ay', ',', 'knelt', 'and', 'worshipped', 'on', ',', 'as', 'love', 'in', 'beauty', ""'s"", 'bower', ',']",1
160,"['feel', 'the', 'pulses', 'of', 'the', 'brave']",1
161,"['sparked', 'a', 'ruby', 'through', 'its', 'heart', ',']",1
162,"['beneath', 'thy', 'gracious', 'feet', '!']",1
163,"['his', 'hand', 'the', 'captive', ""'s"", 'fetters', 'broke', ',']",0
164,"['got', 'the', 'ill', 'name', 'of', 'augurs', ',', 'because', 'they', 'were', 'bores', ',', '—', ')']",0
165,"['and', 'tender', 'thoughts', ',', 'and', 'prayers', ',', 'remains', ',']",1
166,"['then', 'thro', '’', 'his', 'breast', 'his', 'fatal', 'sword', 'he', 'sent', ',']",0
167,"['seed', '-', 'field', 'of', 'simpler', 'manners', ',', 'braver', 'truth', ',']",1
168,"['the', 'pain', 'when', 'it', 'did', 'live', ',']",0
169,"['soft', ',', 'discontented', 'eyes', '!']",0
170,"['and', 'the', 'rude', 'people', 'rage', 'with', 'ignorant', 'cries']",0
171,"['""', 'o', 'lord', ',', 'that', 'didst', 'smother', 'mankind', 'in', 'thy', 'flood', ',']",0
172,"['is', 'this', 'a', 'time', 'to', 'be', 'cloudy', 'and', 'sad', ',']",0
173,"['blood', '-', 'dipped', 'arrows', ',', 'which', 'savages', 'make']",0
174,"['the', 'moon', 'and', 'the', 'stars', 'were', 'anxious']",0
175,"['in', 'our', 'embraces', 'we', 'again', 'enfold', 'her', ',']",1
176,"['robe', 'us', 'once', 'more', 'in', 'heaven', '-', 'aspiring', 'creeds']",1
177,"['in', 'the', 'twilight', 'of', 'age', 'all', 'things', 'seem', 'strange', 'and', 'phantasmal', ',']",0
178,"['a', 'wild', 'and', 'stormy', 'sea', ';']",0
179,"['dark', 'with', 'more', 'clouds', 'than', 'tempests', 'are', ',']",0
180,"['here', 'comes', 'the', 'cripple', 'jane', '!', '""']",0
181,"[' ', 'and', 'by', 'a', 'fountain', ""'s"", 'side']",0
182,"['are', 'angel', 'faces', ',', 'silent', 'and', 'serene', ',']",1
183,"['swifter', 'was', 'the', 'hunter', ""'s"", 'rowing', ',']",1
184,"['which', 'goaded', 'him', 'in', 'his', 'distress']",0
185,"['abloom', 'by', 'sacred', 'streams']",1
186,"['forelaid', 'and', 'taken', ',', 'while', 'he', 'strove', 'in', 'vain']",0
187,"['when', 'blighting', 'was', 'nearest', '.']",0
188,"['pillars', 'by', 'madness', 'multiplied', ';']",0
189,"['no', 'rest', 'that', 'throbbing', 'slave', 'may', 'ask', ',']",0
190,"[""o'er"", 'time', ""'s"", 'delusive', 'tide', '.']",0
191,"['no', 'word', 'for', 'a', 'while', 'spake', 'regin', ';', 'but', 'he', 'hung', 'his', 'head', 'adown']",0
192,"['envy', 'and', 'calumny', 'and', 'hate', 'and', 'pain', ',']",0
193,"['and', 'murmured', 'a', 'strange', 'and', 'solemn', 'air', ';']",0
194,"['taught', 'by', 'the', 'sorrows', 'that', 'his', 'age', 'had', 'known']",0
195,"['the', 'china', 'dustless', ',', 'the', 'keen', 'knife', '-', 'blades', 'bright', ',']",1
196,"['an', 'honest', 'tongue', 'may', 'drop', 'a', 'harmless', 'hint', '.']",1
197,"['playmates', ""'"", 'glad', 'symphony', '.']",1
198,"['her', 'lion', '-', 'port', ',', 'her', 'awe', '-', 'commanding', 'face', ',']",1
199,"['--so', 'they', 'feast', 'in', 'the', 'hall', 'of', 'atli', ',', 'and', 'that', 'eve', 'is', 'the', 'first', 'of', 'the', 'seven', '.']",1
200,"['let', 'sophists', 'give', 'the', 'lie', ',', 'hearts', 'droop', ',', 'and', 'courtiers', 'play', 'the', 'worm', ',']",0
201,"['swifter', 'far', 'than', 'happy', 'night', ',']",1
202,"['by', 'a', 'great', 'master', 'of', 'the', 'past', ',']",1
203,"['and', 'to', 'the', 'tender', 'heart', 'and', 'brave']",1
204,"['with', 'the', 'earls', 'of', 'the', 'goths', 'about', 'her', ':', 'so', 'queenly', 'did', 'she', 'seem', ',']",1
205,"['the', 'fraud', 'of', 'priests', ',', 'the', 'wrong', 'of', 'law', ',']",0
206,"['around', 'thy', 'place', 'of', 'slumber', 'glowing', '!']",1
207,"['obliterate', 'the', 'etchings']",0
208,"['and', 'leaves', 'the', 'world', 'to', 'darkness', 'and', 'to', 'me', '.']",0
209,"['he', 'bent', 'and', 'kissed', 'her', 'head', ',', 'warm', ',', 'shining', ',', 'soft', ',']",1
210,"['that', 'satraps', 'would', 'have', 'shivered', 'at', 'his', 'frown', ',']",0
211,"['harsh', ',', 'featureless', ',', 'and', 'rude', ',', 'barrenly', 'perish', ':']",0
212,"['and', 'friendship', ""'s"", 'tenderest', 'sympathy']",1
213,"['my', 'breast', 'was', 'calm', 'as', 'summer', ""'s"", 'sea']",1
214,"['oblivion', ""'s"", 'blankness', 'claims']",0
215,"['tormented', 'by', 'the', 'quickened', 'blood', 'of', 'roots', ',']",0
216,"['with', 'passionate', 'longing', 'burning', ',']",1
217,"['where', 'the', 'cloudy', 'hangings', 'waver', 'and', 'the', 'flickering', 'shadows', 'fall', ',']",0
218,"['ah', ',', 'soul', 'of', 'mine', '!']",1
219,"['so', 'brave', 'and', 'wise']",1
220,"['left', 'the', 'torn', 'human', 'heart', ',', 'their', 'food', 'and', 'dwelling', '-', 'place', '.']",0
221,"['his', 'pass', 'to', 'the', 'majestical', 'far', 'shore', '.']",1
222,"['and', 'virtue', ""'s"", 'bright', 'image', ',', 'enstamped', 'on', 'the', 'mind', ',']",1
223,"['inexorable', 'death', ';', 'and', 'claims', 'his', 'right', '.']",0
224,"['trailing', ',', 'wrecked', ',', 'it', 'came', 'to', 'land', ',']",0
225,"['dead', 'among', 'the', 'shouting', 'people', ',']",0
226,"['darling', ',', 'the', 'merciful', 'father']",1
227,"['from', 'the', 'slaughtering', 'of', 'my', 'offspring', ',', 'and', 'the', 'spoiling', 'of', 'my', 'land', ';']",0
228,"['the', 'soul', 'with', 'sweetness', ',', 'and', 'like', 'an', 'adept']",1
229,"['no', 'answer', 'came', ';', 'but', 'faint', 'and', 'forlorn']",0
230,"['and', 'heavy', 'as', 'the', 'dead', '.']",0
231,"['for', 'suddenly', 'the', 'sweet', 'bells', 'overcame']",1
232,"['a', 'woman', 'has', 'been', 'strangled', 'with', 'less', 'weight', ':']",0
233,"['howled', 'through', 'the', 'dark', ',', 'like', 'sounds', 'from', 'hell', '.']",0
234,"['make', 'a', 'fragrance', 'of', 'her', 'fame', '.']",1
235,"['thy', 'outward', 'thus', 'with', 'outward', 'praise', 'is', 'crowned', ',']",1
236,"['troubling', 'with', 'life', 'the', 'waters', 'of', 'the', 'world', '.']",0
237,"['when', 'our', 'mother', 'nature', 'laughs', 'around', ';']",1
238,"['and', 'the', 'words', 'which', 'he', 'utters', ',', 'are', '--', 'worship', ',', 'or', 'die', '!']",0
239,"['rang', 'the', 'beautiful', 'wild', 'chimes']",1
240,"['the', 'weird', 'pathetic', 'scarlet', 'of', 'day', 'dawning', ',']",0
241,"['sometimes', 'towards', ""heav'n"", 'and', 'the', 'full', '-', 'blazing', 'sun', ',']",1
242,"['grander', ',', 'nobler', ',', 'than', 'that', 'pilot']",1
243,"['but', 'your', 'dead', '-', 'ripe', 'ones', 'ranges', 'high', 'fer', 'treatin', ""'"", 'nothun', 'bretherin', ';']",0
244,"['so', 'runs', 'the', 'perfect', 'cycle', 'of', 'the', 'year', '.']",1
245,"['the', 'limpid', 'ocean', 'mirrors', 'all', 'the', 'stars', ',']",1
246,"['ashes', 'and', 'jet', 'all', 'hues', 'outshine', '.']",1
247,"['as', 'childhood', ""'s"", 'sweet', 'delight', '.']",1
248,"['""', 'it', 'is', 'a', 'lie', ',', 'a', 'damned', ',', 'infernal', 'lie', '!', '""']",0
249,"['and', 'after', 'that', 'the', 'winter', 'cold', 'and', 'drear', '.']",0
250,"['thus', 'hee', 'in', 'scorn', '.']",0
251,"['the', 'warlike', 'angel', ""mov'd"", ',']",0
252,"['lull’d', 'in', 'her', 'lap', ',', 'amidst', 'a', 'train', 'of', 'loves', ',']",1
253,"['and', 'in', 'a', 'pleasing', 'slumber', 'seals', 'his', 'eyes', ':']",1
254,"['sweet', 'poesy', 'from', 'heaven']",1
255,"['his', 'sweeter', 'voice', 'a', 'just', 'accordance', 'kept', '.']",1
256,"['false', '-', 'faces', 'hung', 'on', 'strings', ',']",0
257,"['that', 'in', 'their', 'lives', 'such', 'deadly', 'fray', 'they', ""ne'er"", 'had', 'seen', 'before', '.']",0
258,"['her', 'not', '-', 'nice', 'load', '.']",0
259,"['i', 'strive', ',', 'i', 'pray', '.']",1
260,"['the', 'loveliest', 'king', 'of', 'the', 'king', '-', 'folk', ',', 'the', 'man', 'of', 'sweetest', 'speech', ',']",1
261,"['and', 'fears', 'are', 'added', ',', 'and', 'avenging', 'flame', '.']",0
262,"['who', 'felt', 'your', 'own', 'thought', 'worthy', 'of', 'record']",1
263,"['and', 'stiff', 'in', 'fight', ',', 'but', 'serious', 'drill', ""'s"", 'despair', ',']",0
264,"['till', 'the', 'deaf', 'fury', 'comes', 'your', 'house', 'to', 'sweep', '!', ""'""]",0
265,"['but', 'now', 'i', 'see', ',', 'most', 'cruell', 'hee', ',']",0
266,"['on', 'the', 'clear', 'mirror', 'of', 'a', 'loving', 'heart', ',']",1
267,"['how', 'weak', 'this', 'tinkling', 'line', ',']",0
268,"['and', 'make', 'the', 'liveliest', 'monkey', 'melancholy', '.']",0
269,"['and', ',', 'between', 'the', 'river', 'flowing', 'and', 'the', 'fair', 'green', 'trees', 'a', '-', 'growing', ',']",1
270,"['god', 'prosper', 'long', 'our', 'noble', 'king', ',']",1
271,"['where', 'the', 'moloch', 'of', 'slavery', 'sitteth', 'on', 'high', ',']",0
272,"['moonstruck', 'with', 'love', ',', 'and', 'this', 'still', 'thames', 'had', 'heard']",1
273,"['some', 'thought', 'of', 'me', ',', 'a', 'last', 'fond', 'prayer']",1
274,"['for', 'wanderings', 'sad', 'and', 'lone', '.']",0
275,"['""', 'onaway', '!']",1
276,"['my', 'heart', 'sings', 'to', 'thee', ',']",1
277,"['our', 'hope', ',', 'our', 'remembrance', ',', 'our', 'trust', ',']",1
278,"['none', 'will', 'forget', 'it', 'till', 'shall', 'fall', 'the', 'deadly', 'dart', '!']",0
279,"['forever', 'quivering', ""o'er"", 'his', 'task', ',']",0
280,"['radiant', 'as', 'moses', 'from', 'the', 'mount', ',', 'he', 'stood']",1
281,"['wilt', 'thou', 'our', 'lowly', 'beds', 'with', 'tears', 'of', 'pity', 'lave', '?', ""'""]",0
282,"['and', 'seek', 'the', 'danger', 'i', 'was', 'forc’d', 'to', 'shun', '.']",0
283,"['down', 'the', 'dark', 'future', ',', 'through', 'long', 'generations', ',']",0
284,"['but', 'she', 'always', 'ran', 'away', 'and', 'left']",0
285,"['with', 'such', 'vehement', 'force', 'and', 'might']",0
286,"['his', 'regal', 'seat', ',', 'surrounded', 'by', 'his', 'friends', '.']",1
287,"['vain', 'cries', '--', 'throughout', 'the', 'streets', 'thousands', 'pursued']",0
288,"['and', 'all', 'their', 'echoes', ',', 'mourn', ';']",0
289,"['yet', 'was', 'this', 'period', 'my', 'time', 'of', 'joy', ':']",1
290,"['still', 'must', 'mine', ',', 'though', 'bleeding', ',', 'beat', ';']",0
291,"['their', 'first', '-', 'born', 'brother', 'as', 'a', 'god', '.']",1
292,"['in', 'town', ',', 'an', ""'"", 'not', 'the', 'leanest', 'runt']",0
293,"['by', 'death', ""'s"", 'frequented', 'ways', ',']",0
294,"['rejection', 'of', 'his', 'humanness']",0
295,"['the', 'one', 'good', 'man', 'in', 'the', 'world', 'who', 'knows', 'me', ',', '--']",1
296,"['faint', 'voices', 'lifted', 'shrill', 'with', 'pain']",0
297,"['in', 'the', 'wild', 'glens', 'rough', 'shepherds', 'will', 'deplore']",0
